Thumb,IndexFinger,MiddleFinger,RingFinger,LittleFinger,accelerometer_x,accelerometer_y,accelerometer_z,temperature,gyro_x,gyro_y,gyro_z,Gesture
372,349,389,258,312,12004,9012,9368,27.31,-503,-236,78,0
372,350,390,258,312,12088,8840,8892,27.35,-693,-172,-1,0
372,350,389,259,312,11944,8832,9472,27.45,-588,-405,26,0
372,350,390,259,312,11940,8704,9024,27.45,-581,54,-248,0
372,350,390,259,313,12148,8536,8800,27.49,-680,-221,-10,0
372,350,390,259,312,11808,8904,9000,27.4,-521,-338,86,0
372,350,390,259,313,11836,8716,8904,27.49,-731,-287,24,0
372,350,390,260,313,11888,8860,9044,27.54,-786,-223,-100,0
372,350,390,260,313,11776,8748,9180,27.54,-689,15,-49,0
372,351,390,260,313,12024,8992,9136,27.54,-718,-570,62,0
372,351,390,260,313,12084,8752,8912,27.59,-622,-169,-17,0
372,351,390,260,313,11900,8712,8940,27.59,-765,-249,-17,0
372,351,391,260,314,11816,8856,9108,27.64,-575,-233,92,0
373,351,391,260,314,11868,8920,9100,27.59,-774,-301,-114,0
373,351,391,261,314,11980,8524,8860,27.73,-672,-377,-28,0
373,351,391,261,314,12076,8848,9064,27.68,-621,-33,70,0
373,352,391,261,314,11888,8824,8836,27.82,-794,-184,-73,0
373,351,391,261,314,12088,8744,9176,27.73,-824,-124,-88,0
373,352,391,261,314,12020,8700,9168,27.82,-637,-535,17,0
373,352,392,261,314,11864,8856,8980,27.87,-647,-161,-217,0
373,352,391,262,314,11896,9084,9244,27.82,-654,-236,-89,0
373,352,392,262,314,11940,9072,8992,27.87,-598,9,69,0
373,352,392,262,314,11764,9224,9100,27.92,-632,-216,-33,0
373,352,392,262,314,11984,8820,8864,27.97,-727,-234,14,0
373,352,392,262,315,11800,8948,8936,27.97,-732,-107,23,0
373,352,392,262,315,12032,9204,8872,28.01,-586,-67,136,0
373,353,392,262,315,12008,8944,9240,27.97,-805,-330,-10,0
373,352,392,262,315,11944,8904,9064,28.01,-619,-326,-38,0
373,353,392,263,315,12012,8968,8932,28.01,-845,-236,-150,0
373,353,392,263,315,12008,8624,8900,28.15,-601,-440,19,0
373,353,392,263,315,11976,8840,9072,28.06,-658,-208,-93,0
373,353,393,263,315,11708,8668,8940,28.11,-770,-150,-126,0
373,353,393,263,315,12028,8732,9040,28.15,-717,-244,-3,0
373,353,393,263,315,12072,8888,9096,28.25,-723,-270,36,0
373,353,393,264,316,11952,8820,9200,28.25,-620,-268,16,0
412,467,477,377,386,-5228,13136,8076,29.61,-623,-209,50,0
412,467,477,377,385,-5120,13044,7956,29.66,-759,-147,39,0
420,389,471,399,417,5840,11400,9576,29.66,-3891,-8117,7532,0
373,360,472,399,420,13200,6764,9136,29.66,-727,-55,131,0
